Player,Position,Nation,Age,Team,90s Played,Save %,Position,Matches Played,Starts,Goals Allowed Per 90,Shots on Target Against,Saves,Wins,Clean Sheet %,PK Save %,Expected_PSxG,Expected_PSxG/SoT,PSxG-GA per 90,Pass >40 Yards Cmp%,Avg Pass Length,Crosses Stopped %,Def Actions Outside Pen Area/90,Avg Distance of Def Actions,Wins Per 90,Expected_PSxG Per 90,Saves Per 90,Shots on Target Against Per 90,GA/SoT Per 90,Secondary Position,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Facundo Altamirano,GK,ARG,27.0,San Lorenzo,9.0,65.6,GK,9.0,9.0,1.22,32.0,22.0,1.0,22.2,0.0,10.7,0.35,0.08,26.7,33.0,2.6,0.89,15.8,0.11,1.19,2.44,3.56,0.34,,0.0,0.0,0.0,0.0,100.0,0.11,0.0,0.0,70.8,100.0,98.9,44.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,1.44,19.89,528.33,384.22,0.0,0.0,0.0,0.11,0.0,29.89,0.11,16.33,45.11
Gastón Gómez,GK,ARG,27.0,San Lorenzo,16.0,78.4,GK,16.0,16.0,0.81,51.0,39.0,6.0,31.3,0.0,13.6,0.25,0.1,38.4,41.5,2.6,0.38,11.3,0.38,0.85,2.44,3.19,0.25,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,66.7,62.9,100.0,98.5,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.75,16.94,587.69,498.62,0.0,0.0,0.0,0.06,0.0,28.81,0.0,12.44,53.25
Juan Cozzani,GK,ARG,25.0,Platense,26.0,80.2,GK,26.0,26.0,0.69,86.0,68.0,9.0,50.0,0.0,21.1,0.24,0.12,35.5,49.5,6.6,1.15,16.9,0.35,0.81,2.62,3.31,0.21,,0.0,0.0,0.0,0.0,100.0,0.54,0.0,100.0,47.2,100.0,95.8,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.12,0.92,12.62,568.92,505.96,0.08,0.0,0.0,0.0,0.0,28.38,0.0,12.27,53.23
Thiago Cardozo,GK,URU,27.0,Union,26.0,79.8,GK,26.0,26.0,0.96,94.0,68.0,10.0,46.2,14.3,26.3,0.22,0.05,33.8,40.8,5.7,0.77,13.9,0.38,1.01,2.62,3.62,0.27,,0.0,0.0,0.0,0.01,50.0,0.19,0.0,100.0,63.4,98.8,98.4,41.4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.5,17.38,541.62,441.23,0.08,-0.01,0.0,0.08,0.0,29.08,0.0,13.88,60.81
Lucas Hoyos,GK,ARG,34.0,Newells Old Boys,10.8,73.5,GK,11.0,11.0,0.92,34.0,25.0,3.0,36.4,0.0,11.7,0.31,0.25,39.5,36.4,7.8,0.83,13.0,0.28,1.08,2.31,3.15,0.29,,0.0,0.0,0.0,0.0,50.0,0.09,0.09,85.7,68.2,95.0,100.0,45.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,1.11,21.85,651.67,491.11,0.0,0.0,0.0,0.0,0.0,33.06,0.09,18.43,83.43
Ramiro Macagno,GK,ARG,26.0,Newells Old Boys,13.2,62.7,GK,14.0,13.0,1.75,59.0,36.0,3.0,23.1,0.0,17.5,0.28,-0.42,35.5,38.3,5.6,1.37,16.3,0.23,1.33,2.73,4.47,0.39,,0.0,0.0,0.0,0.0,33.3,0.53,0.08,50.0,68.3,100.0,100.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,1.06,20.76,640.23,472.88,0.0,0.0,0.0,0.0,0.0,32.58,0.0,18.41,45.3
Jorge Broun,GK,ARG,37.0,Rosario Central,24.0,76.0,GK,24.0,24.0,1.13,100.0,74.0,7.0,25.0,0.0,24.6,0.22,-0.06,40.8,36.6,4.7,0.33,12.4,0.29,1.03,3.08,4.17,0.27,,0.0,0.0,0.0,0.0,0.0,0.12,0.0,100.0,69.8,98.1,97.1,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.46,19.0,586.62,447.79,0.0,0.0,0.0,0.0,0.0,28.71,0.0,15.62,54.67
Facundo Sanguinetti,GK,ARG,22.0,Banfield,25.7,70.1,GK,26.0,25.0,1.36,107.0,70.0,5.0,20.0,40.0,30.9,0.26,-0.16,32.1,35.5,6.4,0.39,12.6,0.19,1.2,2.72,4.16,0.33,,0.0,0.0,0.0,0.0,0.0,0.08,0.0,66.7,67.6,100.0,98.0,41.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.17,18.95,538.72,399.84,0.0,0.0,0.0,0.0,0.0,29.53,0.04,14.2,49.69
Guido Herrera,GK,ARG,31.0,Talleres,26.0,75.6,GK,26.0,26.0,1.0,90.0,65.0,12.0,42.3,0.0,21.9,0.22,-0.12,44.7,41.1,7.2,0.69,11.9,0.46,0.84,2.5,3.46,0.29,,0.0,0.0,0.0,0.0,100.0,0.19,0.0,100.0,71.0,100.0,98.4,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,1.08,21.92,719.38,562.88,0.04,0.0,0.0,0.04,0.0,33.12,0.0,16.92,67.38
Lucas Acosta,GK,ARG,28.0,Sarmiento,23.0,78.8,GK,23.0,23.0,1.04,104.0,81.0,5.0,39.1,0.0,30.4,0.29,0.32,31.4,48.0,3.7,0.39,11.1,0.22,1.32,3.52,4.52,0.23,,0.0,0.0,0.0,0.0,50.0,0.3,0.0,71.4,52.4,100.0,99.3,37.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.61,14.96,590.22,482.09,0.04,0.0,0.0,0.0,0.0,31.04,0.04,12.96,67.57
Alan Aguerre,GK,ARG,33.0,Lanus,10.0,69.8,GK,10.0,10.0,1.4,43.0,28.0,3.0,10.0,50.0,13.0,0.27,-0.1,38.1,40.9,1.7,0.4,14.0,0.3,1.3,2.8,4.3,0.33,,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,58.9,100.0,98.4,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7,17.6,640.1,551.5,0.0,0.0,0.0,0.0,0.0,32.8,0.0,13.3,51.1
