Player,Team,Position,Secondary Position,Nation,Age,90s Played,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Alexis Cuello,San Lorenzo,FW,,ARG,23.0,19.8,0.2,0.0,0.21,0.04,66.7,2.62,0.3,43.1,59.9,68.6,59.6,47.1,39.0,0.81,0.1,0.25,0.11,0.25,0.2,7.42,0.86,0.0,0.2,1.26,2.73,11.92,146.57,28.48,0.51,-0.05,0.0,0.1,0.76,35.61,4.14,19.44,43.08
Cristian Tarragona,San Lorenzo,FW,,ARG,32.0,5.4,0.19,0.19,0.39,0.12,20.0,2.41,0.37,21.4,73.6,83.5,79.4,57.1,30.8,1.3,0.06,0.14,0.13,0.51,0.37,7.59,0.93,0.0,0.0,0.93,3.33,19.63,284.26,32.41,0.74,0.06,0.0,0.37,0.93,43.15,2.41,24.63,33.89
Elian Irala,San Lorenzo,MF,,ARG,19.0,17.5,0.11,0.0,0.03,0.01,54.8,1.37,0.0,56.3,76.1,79.3,86.6,57.9,43.5,0.17,0.14,0.67,0.04,0.05,0.11,1.77,3.77,0.0,1.14,2.06,7.49,32.17,563.66,133.71,0.4,-0.01,0.06,0.11,0.57,56.57,2.63,26.51,53.54
Elías Báez,San Lorenzo,DF,,ARG,19.0,14.4,0.0,0.0,0.01,0.01,65.1,0.69,0.0,42.6,68.1,82.3,68.4,39.8,38.1,0.14,0.0,0.0,0.02,0.03,0.0,3.06,3.33,0.0,1.88,1.67,3.89,32.36,544.44,248.68,0.42,-0.01,0.0,0.14,1.94,59.93,1.46,19.72,56.88
Eric Remedi,San Lorenzo,MF,,ARG,28.0,17.8,0.0,0.0,0.03,0.05,50.0,1.74,0.11,53.3,80.3,87.2,85.5,60.8,31.8,0.17,0.0,0.0,0.04,0.08,0.0,0.17,5.51,0.06,0.79,1.91,7.42,36.12,646.29,217.98,0.62,-0.05,0.06,0.34,0.17,55.28,1.24,27.7,65.9
Ezequiel Cerutti,San Lorenzo,FW,,ARG,32.0,11.6,0.09,0.17,0.03,0.12,26.7,3.12,0.17,33.3,67.1,80.6,72.2,45.2,30.8,0.17,0.13,0.5,0.04,0.15,0.26,7.67,2.5,0.0,0.43,0.78,4.48,20.0,338.28,108.88,1.9,0.05,0.0,0.0,5.6,39.14,2.24,25.69,71.81
Facundo Altamirano,San Lorenzo,GK,,ARG,27.0,9.0,0.0,0.0,0.0,0.0,100.0,0.11,0.0,0.0,70.8,100.0,98.9,44.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,1.44,19.89,528.33,384.22,0.0,0.0,0.0,0.11,0.0,29.89,0.11,16.33,45.11
Gastón Campi,San Lorenzo,DF,,ARG,32.0,23.6,0.04,0.04,0.03,0.02,55.6,0.55,0.04,69.5,80.7,85.7,88.6,58.2,100.0,0.08,0.11,0.5,0.09,0.05,0.08,0.21,3.69,0.04,1.48,0.85,3.22,39.41,823.39,350.17,0.25,0.03,0.0,0.25,0.17,57.58,0.21,29.32,113.14
Gastón Gómez,San Lorenzo,GK,,ARG,27.0,16.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,66.7,62.9,100.0,98.5,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.75,16.94,587.69,498.62,0.0,0.0,0.0,0.06,0.0,28.81,0.0,12.44,53.25
Gonzalo Luján,San Lorenzo,DF,,ARG,22.0,14.7,0.0,0.0,0.03,0.01,50.0,0.88,0.07,62.1,67.9,84.7,76.4,39.9,70.0,0.07,0.0,0.0,0.05,0.04,0.0,1.9,4.76,0.0,0.48,1.16,2.65,34.83,666.19,322.52,0.2,-0.01,0.0,0.48,1.56,59.8,0.68,26.73,78.1
